latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.73462,133.99533,315.6,3.92,1.84,2023-09-09,0016,T,71,6.1NRT,291.2,85.77,D
-18.74038,133.98666,307.04,3.92,1.84,2023-09-09,0016,T,49,6.1NRT,290.94,38.67,D
-18.8178,133.77765,316.18,4.05,1.87,2023-09-09,0016,T,60,6.1NRT,293.39,77.91,D
-18.80645,133.77437,311.6,4.05,1.87,2023-09-09,0016,T,41,6.1NRT,293.19,52.9,D
-18.83054,133.80846,313.9,4.03,1.86,2023-09-09,0016,T,49,6.1NRT,291.96,64.54,D
-18.84056,133.68785,313.72,4.11,1.88,2023-09-09,0016,T,68,6.1NRT,293.91,66.31,D
-18.84458,133.67928,310.69,4.11,1.88,2023-09-09,0016,T,62,6.1NRT,293.5,51.59,D
-18.85239,133.71695,310.95,4.08,1.87,2023-09-09,0016,T,60,6.1NRT,294.84,48.23,D
-19.14476,134.59381,342.44,3.47,1.75,2023-09-09,0016,T,92,6.1NRT,294.44,272.14,D
-19.15094,134.62576,342.24,3.45,1.75,2023-09-09,0016,T,92,6.1NRT,297.46,263.43,D
-19.16632,134.62236,360.01,3.45,1.75,2023-09-09,0016,T,100,6.1NRT,295.83,496.12,D
-19.17244,134.65419,347.38,3.43,1.74,2023-09-09,0016,T,94,6.1NRT,297.73,308.91,D
-19.1398,134.58904,330.92,3.47,1.75,2023-09-09,0016,T,85,6.1NRT,294.04,166.37,D
-19.1462,134.62091,335.5,3.45,1.75,2023-09-09,0016,T,88,6.1NRT,296.97,200.83,D
-19.16158,134.61751,355.14,3.45,1.75,2023-09-09,0016,T,98,6.1NRT,295.98,423.59,D
-19.16792,134.64926,353.11,3.43,1.74,2023-09-09,0016,T,97,6.1NRT,298.17,385.04,D
-19.18328,134.64595,352.88,3.43,1.74,2023-09-09,0016,T,97,6.1NRT,295.38,382.98,D
-19.18956,134.6776,338.29,3.41,1.74,2023-09-09,0016,T,90,6.1NRT,296.85,205.47,D
-19.25375,134.76152,339.91,3.35,1.73,2023-09-09,0016,T,91,6.1NRT,295.9,218.59,D
-19.25975,134.79243,323.06,3.34,1.72,2023-09-09,0016,T,46,6.1NRT,296.77,83.14,D
-19.30187,134.84741,324.18,3.3,1.72,2023-09-09,0016,T,32,6.1NRT,295.74,85.59,D
-19.24943,134.75533,332.79,3.35,1.73,2023-09-09,0016,T,86,6.1NRT,295.67,154.59,D
-19.25565,134.78619,326.77,3.34,1.72,2023-09-09,0016,T,66,6.1NRT,297.11,105.07,D
-19.27083,134.78294,317.95,3.34,1.72,2023-09-09,0016,T,42,6.1NRT,294.93,60.38,D
-19.29823,134.84114,321.89,3.3,1.72,2023-09-09,0016,T,76,6.1NRT,295.95,82.83,D
-19.36789,134.7943,312.79,3.32,1.72,2023-09-09,0016,T,49,6.1NRT,292.36,43.78,D
-19.39473,134.85214,389.82,3.28,1.71,2023-09-09,0016,T,100,6.1NRT,302.84,1077,D
