latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.75207,-81.44091,309.77,1.12,1.05,2023-09-09,0249,T,78,6.1NRT,288.43,12.39,N
17.98632,-77.03645,306.57,1.47,1.2,2023-09-09,0241,T,68,6.1NRT,294.31,9.04,N
49.36145,-96.5398,308.06,3.73,1.81,2023-09-09,0251,T,73,6.1NRT,275.58,85.03,N
49.35434,-96.53985,309.89,3.73,1.81,2023-09-09,0251,T,79,6.1NRT,276.7,93.76,N
18.09362,-94.04974,311.62,1.32,1.14,2023-09-09,0421,T,83,6.1NRT,278.16,17.07,N
18.09776,-94.34949,308.8,1.26,1.12,2023-09-09,0421,T,76,6.1NRT,289.05,9.19,N
18.20073,-94.00834,312.37,1.33,1.14,2023-09-09,0421,T,85,6.1NRT,287.27,15.24,N
20.52487,-100.91718,302.22,1.21,1.09,2023-09-09,0421,T,48,6.1NRT,288.73,7.54,N
20.52309,-100.92844,313.76,1.21,1.09,2023-09-09,0421,T,88,6.1NRT,290.15,17.81,N
22.6622,-98.99171,307.02,1,1,2023-09-09,0421,T,70,6.1NRT,295.88,4.17,N
23.77296,-97.88761,306.86,1.02,1.01,2023-09-09,0421,T,63,6.1NRT,296.7,4.74,N
23.77163,-97.89746,309.05,1.02,1.01,2023-09-09,0421,T,76,6.1NRT,296.63,6.16,N
25.71852,-100.30378,312.42,1.02,1.01,2023-09-09,0423,T,80,6.1NRT,299.76,6.01,N
25.8091,-100.3781,309.62,1.03,1.01,2023-09-09,0423,T,68,6.1NRT,298.98,4.54,N
26.42058,-99.00275,313.22,1.01,1,2023-09-09,0423,T,80,6.1NRT,300.32,7.25,N
30.17939,-93.36505,309.79,2.13,1.42,2023-09-09,0423,T,78,6.1NRT,293.29,25.05,N
32.20896,-101.93584,320.23,1.02,1.01,2023-09-09,0425,T,100,6.1NRT,298.73,15.9,N
33.66231,-99.03111,308.7,1.11,1.05,2023-09-09,0425,T,69,6.1NRT,295.81,6.82,N
33.65941,-99.05452,315.03,1.1,1.05,2023-09-09,0425,T,65,6.1NRT,296.49,11.28,N
33.65796,-99.06622,325,1.1,1.05,2023-09-09,0425,T,100,6.1NRT,296.79,22.99,N
33.65651,-99.0779,307.46,1.1,1.05,2023-09-09,0425,T,52,6.1NRT,295.56,5.93,N
33.66645,-99.05021,306.05,1.1,1.05,2023-09-09,0425,T,54,6.1NRT,295.88,5.38,N
33.66504,-99.06194,313.79,1.1,1.05,2023-09-09,0425,T,85,6.1NRT,296.07,12.02,N
36.11833,-105.74579,309.07,1.26,1.11,2023-09-09,0427,T,76,6.1NRT,288,13.98,N
36.11597,-105.75933,308.42,1.26,1.11,2023-09-09,0427,T,74,6.1NRT,287.49,13.44,N
37.3639,-106.71922,304.55,1.34,1.15,2023-09-09,0427,T,49,6.1NRT,283.03,13.55,N
37.53091,-107.28011,306.68,1.42,1.18,2023-09-09,0427,T,36,6.1NRT,283.77,14.56,N
37.52848,-107.29327,344.22,1.42,1.18,2023-09-09,0427,T,100,6.1NRT,291.6,88.56,N
37.52592,-107.30704,314.64,1.43,1.18,2023-09-09,0427,T,53,6.1NRT,284.31,24.53,N
37.53874,-107.2961,307.31,1.42,1.18,2023-09-09,0427,T,71,6.1NRT,285.64,16.54,N
37.53624,-107.30966,308.07,1.43,1.18,2023-09-09,0427,T,70,6.1NRT,282.83,18.08,N
42.68155,-111.59892,312.12,1.89,1.34,2023-09-09,0429,T,84,6.1NRT,282.88,36.54,N
49.36369,-96.54044,305.85,2.28,1.46,2023-09-09,0429,T,66,6.1NRT,275.85,37.16,N
41.51503,-123.66294,307.59,1.36,1.15,2023-09-09,0608,T,72,6.1NRT,287.2,15.17,N
41.51347,-123.67856,335.01,1.36,1.15,2023-09-09,0608,T,100,6.1NRT,288.73,59.01,N
41.69246,-123.38821,303.5,1.41,1.18,2023-09-09,0608,T,45,6.1NRT,288.3,9.56,N
41.70875,-123.4393,308.24,1.4,1.17,2023-09-09,0608,T,25,6.1NRT,289.92,12.65,N
41.72222,-123.40939,312.1,1.41,1.17,2023-09-09,0608,T,59,6.1NRT,289.63,17.42,N
41.72071,-123.42498,313.26,1.4,1.17,2023-09-09,0608,T,87,6.1NRT,289.57,19.25,N
41.71919,-123.44072,309.95,1.4,1.17,2023-09-09,0608,T,75,6.1NRT,289.88,15.13,N
35.92512,-119.24339,314.01,2.09,1.41,2023-09-09,0603,T,88,6.1NRT,290.63,38.27,N
18.92846,-70.35504,311.73,1.05,1.02,2023-09-09,0652,A,83,6.1NRT,295.14,9.95,N
18.92695,-70.34538,308.48,1.05,1.02,2023-09-09,0652,A,75,6.1NRT,295.02,7.53,N
32.84597,-98.64136,303.79,1.68,1.27,2023-09-09,0826,A,26,6.1NRT,291.86,8.29,N
32.83461,-98.64285,309.36,1.68,1.27,2023-09-09,0826,A,77,6.1NRT,291.12,15.92,N
30.01878,-90.39893,308.37,1.23,1.1,2023-09-09,0826,A,74,6.1NRT,294.36,9.55,N
18.64291,-92.1719,310.03,1.48,1.2,2023-09-09,0830,A,69,6.1NRT,285.78,16.95,N
19.17493,-98.31598,312.61,1.1,1.05,2023-09-09,0830,A,85,6.1NRT,283.45,16.41,N
18.09307,-94.05018,308.73,1.17,1.08,2023-09-09,0830,A,75,6.1NRT,287.98,10.54,N
18.09134,-94.03936,310.05,1.17,1.08,2023-09-09,0830,A,79,6.1NRT,288.22,11.6,N
17.90013,-93.17963,309.52,1.31,1.14,2023-09-09,0830,A,78,6.1NRT,285.22,14.01,N
17.89008,-93.18147,302.6,1.31,1.14,2023-09-09,0830,A,38,6.1NRT,284.7,7.23,N
17.91226,-93.3745,304.39,1.28,1.12,2023-09-09,0830,A,53,6.1NRT,280.03,9.32,N
17.91341,-93.38107,301.97,1.28,1.12,2023-09-09,0830,A,17,6.1NRT,279.66,7.99,N
17.87129,-93.49712,317.18,1.26,1.11,2023-09-09,0830,A,95,6.1NRT,275.79,23.66,N
32.56145,-114.8343,307.19,1.17,1.07,2023-09-09,1004,A,71,6.1NRT,295.75,8.05,N
41.5109,-123.6757,301.11,2.27,1.46,2023-09-09,1004,A,38,6.1NRT,285.88,20.5,N
39.45197,-110.1447,305.57,1.52,1.22,2023-09-09,1004,A,65,6.1NRT,287.17,15.49,N
39.44105,-110.14627,301.6,1.52,1.22,2023-09-09,1004,A,34,6.1NRT,287.93,10.44,N
18.93112,-70.35292,324.4,1,1,2023-09-09,1452,T,78,6.1NRT,299.92,14.01,D
19.08008,-71.48317,313.81,1.06,1.03,2023-09-09,1452,T,58,6.1NRT,298.87,6.6,D
17.99006,-66.21848,315.41,1.42,1.18,2023-09-09,1452,T,62,6.1NRT,297.69,9.88,D
18.20367,-70.55296,312.92,1,1,2023-09-09,1454,T,18,6.1NRT,297.92,5.03,D
17.86669,-77.25111,328.8,2.39,1.49,2023-09-09,1454,T,82,6.1NRT,302.7,60.08,D
42.59116,-89.91685,312.97,1.04,1.02,2023-09-09,1624,T,69,6.1NRT,293.79,9.84,D
41.63179,-87.13608,321.85,1.04,1.02,2023-09-09,1624,T,59,6.1NRT,301.07,16,D
41.11005,-88.82835,309.94,1,1,2023-09-09,1624,T,30,6.1NRT,297.06,4.51,D
38.69802,-90.12896,323.74,1,1,2023-09-09,1626,T,70,6.1NRT,300.24,14.31,D
38.58499,-92.49929,341.42,1.14,1.07,2023-09-09,1626,T,91,6.1NRT,298.61,49.28,D
