DATE,TMAX,TMIN,TAVG,PREC,RAIN,SNOW
1/1/2023,73.7,53.9,62.1,0,0,0
1/2/2023,71,61.2,66.1,0.12,0.12,0
1/3/2023,65,46.8,57.1,0,0,0
1/4/2023,55.7,37.8,46.5,0,0,0
1/5/2023,58.5,35.7,45.7,0,0,0
1/6/2023,68.4,42.6,54.2,0,0,0
1/7/2023,61.7,49.4,55.8,0.02,0.02,0
1/8/2023,57.6,40.4,48.4,0,0,0
1/9/2023,66.2,40,51.1,0,0,0
1/10/2023,77.7,48.8,61.2,0,0,0
1/11/2023,79.8,53.3,65.9,0,0,0
1/12/2023,65.2,45.2,52.1,0,0,0
1/13/2023,55.3,36.8,45.4,0,0,0
1/14/2023,60,37.7,47.6,0,0,0
1/15/2023,68.8,49,57.6,0,0,0
1/16/2023,73.5,57.3,63.9,0,0,0
1/17/2023,73,51.8,61.2,0,0,0
1/18/2023,68.8,55.4,62,0.209,0.209,0
1/19/2023,58.3,43.6,51.7,0,0,0
1/20/2023,58.9,39.3,48.4,0,0,0
1/21/2023,56.5,45.7,50.1,0.004,0.004,0
1/22/2023,52.1,39.6,45.2,0,0,0
1/23/2023,52,33.7,42.5,0,0,0
1/24/2023,45.9,35.7,41.7,0.799,0.775,0.165
1/25/2023,46.7,36.9,41,0,0,0
1/26/2023,52.7,33.1,41.7,0,0,0
1/27/2023,60.2,36.4,46.5,0,0,0
1/28/2023,66.4,45.7,54.8,0.012,0.012,0
1/29/2023,57.4,36.2,46.4,0.02,0.02,0
1/30/2023,35.4,28.2,30.4,0.331,0.331,0
1/31/2023,29,27,27.8,0.056,0.056,0
2/1/2023,31.3,27.9,29.6,0.358,0.358,0
2/2/2023,35.8,30.3,32.9,0.238,0.238,0
2/3/2023,50.2,29.6,38.5,0,0,0
2/4/2023,58.4,33.5,44.4,0,0,0
2/5/2023,65.8,40.4,52.2,0,0,0
2/6/2023,70.1,52.4,59.7,0,0,0
2/7/2023,61.4,47.6,56.3,0.514,0.514,0
2/8/2023,47.5,38.3,44.9,1.417,1.417,0
