DATE,TMAX,TMIN,TAVG,RAIN,SNOW
1/1/2023,59.2,45,50.6,0,0
1/2/2023,52.3,43,48.1,0.572,0
1/3/2023,55.2,45.1,48.8,0.028,0
1/4/2023,58.3,45.2,53,1.622,0
1/5/2023,55.7,47.2,52.5,0.519,0
1/6/2023,59.2,46.7,52.1,0.028,0
1/7/2023,57.5,51.6,53.4,1.142,0
1/8/2023,60,51.6,55.7,0.799,0
1/9/2023,57.5,47.4,55.3,1.225,0
1/10/2023,53.9,48.7,51.6,0.933,0
1/11/2023,56.2,48.9,53,1.439,0
1/12/2023,62.7,49,55.6,0.036,0
1/13/2023,58.1,53.2,55.4,0.669,0
1/14/2023,57.2,48.6,53.1,1.126,0
1/15/2023,53.3,47.1,49.4,0.487,0
1/16/2023,53.6,45.3,49.1,0.319,0
1/17/2023,54.7,39.9,47.4,0,0
1/18/2023,54.3,44.6,49.2,0.185,0
1/19/2023,53.6,40.1,47.4,0.008,0
1/20/2023,54,37.4,45.5,0,0
1/21/2023,54.1,37.5,45.9,0,0
1/22/2023,57.7,41.6,48.1,0,0
1/23/2023,59.9,41.7,50.5,0,0
1/24/2023,58.8,38.3,48.4,0,0
1/25/2023,63.4,37.8,50.5,0,0
1/26/2023,61.7,43.7,51.6,0,0
1/27/2023,55.9,43.1,49,0,0
1/28/2023,52.5,40.9,46.3,0,0
1/29/2023,49.2,43.4,46.6,0.008,0
1/30/2023,52.7,34.7,43.2,0,0
1/31/2023,55.1,37,45.5,0,0
2/1/2023,54.8,33.2,44.8,0,0
2/2/2023,56.4,35.3,46.3,0,0
2/3/2023,55.9,46.9,51.8,0.39,0
2/4/2023,58.9,46.2,51.8,0.448,0
2/5/2023,53,46,50.1,0.378,0
2/6/2023,58.1,40.1,48.6,0,0
2/7/2023,56.3,41.7,48.2,0,0
2/8/2023,57.8,38.6,47.6,0,0
2/9/2023,60.8,39.5,49.8,0,0
2/10/2023,55.2,42.8,48.2,0,0
2/11/2023,54.8,41.1,48,0.08,0
2/12/2023,60,40.8,50,0,0
2/13/2023,58.7,40.1,49.5,0,0
2/14/2023,49.6,40.5,45.2,0.008,0
2/15/2023,55.3,34.9,45.1,0,0
2/16/2023,55,34.9,46,0,0
2/17/2023,58.7,38.1,47.9,0,0
2/18/2023,59.3,40.1,49.1,0,0
2/19/2023,59.9,42.8,50.4,0,0
2/20/2023,62.3,41.2,51.3,0,0
2/21/2023,54.6,42.4,47.6,0,0
2/22/2023,48.2,40,43.1,0,0
2/23/2023,47.5,37.5,42.3,0.296,0
2/24/2023,46.5,40.3,43.4,0.537,0
2/25/2023,48.1,38.4,43.2,0.044,0
2/26/2023,50.3,40.7,46.3,0.292,0
2/27/2023,48.3,39.4,44.2,0.544,0
2/28/2023,51.1,41.3,45.8,0.434,0
3/1/2023,54.1,36.4,44.7,0.004,0
3/2/2023,53.9,36.9,45.7,0,0
3/3/2023,54.5,42.2,47.2,0,0
3/4/2023,49.4,44.4,46.4,0.182,0
3/5/2023,50.2,42.8,46.3,0.289,0
3/6/2023,51.4,39.3,45.2,0.309,0
3/7/2023,50.6,39.9,45.7,0.044,0
3/8/2023,51.6,43.7,47,0.146,0
3/9/2023,52.2,40.6,46.8,1.544,0
3/10/2023,54.6,45.3,50.8,0.693,0
3/11/2023,57.7,44.6,51.3,0.118,0
3/12/2023,58,51.4,53.8,0.732,0
3/13/2023,60.8,52.2,55.3,0.255,0
3/14/2023,57.7,47.7,54.1,1.446,0
3/15/2023,57.2,41.8,48.9,0,0
3/16/2023,56,43.9,49.2,0,0
3/17/2023,60.7,45,51.6,0,0
3/18/2023,64.4,42,53.3,0,0
3/19/2023,57,50.1,53.1,0.85,0
